Name_of_Agency,Type_of_Travel_Insurance_Agencies,Distribution_Channel_of_Travel_Insurance_Agencies,Name_of_the_Travel_Insurance_Products,Claim_Status,Duration_of_Travel,Destination_of_Travel,Amount_of_Sales_of_Travel_Insurance_Policies,Commission_Received_for_Travel_Insurance_Agency,Age_of_Insured
C2B,Airlines,Online,Bronze_Plan,no,15,SINGAPORE,33.5,8.38,35
JZI,Airlines,Online,Basic_Plan,no,2,CHINA,22.0,7.7,31
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,15,INDONESIA,31.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,5,HONG_KONG,23.0,0.0,51
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,16,MALAYSIA,39.6,23.76,33
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,18,ITALY,0.0,23.76,33
EPX,Travel_Agency,Online,Cancellation_Plan,no,43,MYANMAR,10.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,13,MALAYSIA,11.0,0.0,25
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,5,AUSTRALIA,0.0,29.7,34
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,9,CHINA,112.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,24,UNITED_STATES,138.6,83.16,31
EPX,Travel_Agency,Online,Cancellation_Plan,no,6,CAMBODIA,29.0,0.0,36
C2B,Airlines,Online,Silver_Plan,no,7,SINGAPORE,22.5,5.63,31
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,24,VIETNAM,20.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,32,MALAYSIA,18.0,6.3,29
JZI,Airlines,Online,Basic_Plan,no,9,THAILAND,22.0,7.7,44
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,98,INDONESIA,20.0,0.0,26
EPX,Travel_Agency,Online,Cancellation_Plan,no,27,INDONESIA,10.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,12,THAILAND,10.0,0.0,74
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,13,CANADA,112.0,0.0,53
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,26,THAILAND,80.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,1,MALAYSIA,20.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,44,UNITED_STATES,24.0,0.0,37
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,2,SINGAPORE,20.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,14,AUSTRALIA,29.7,17.82,54
EPX,Travel_Agency,Online,Cancellation_Plan,no,17,"TAIWAN,_PROVINCE_OF_CHINA",27.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,13,INDONESIA,44.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,15,CHINA,64.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,15,BRUNEI_DARUSSALAM,26.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,12,"KOREA,_REPUBLIC_OF",0.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,5,HONG_KONG,21.0,0.0,36
C2B,Airlines,Online,Gold_Plan,no,30,SINGAPORE,127.5,31.88,32
JZI,Airlines,Online,Basic_Plan,no,31,MALAYSIA,18.0,6.3,38
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,yes,16,"KOREA,_REPUBLIC_OF",42.0,0.0,36
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,16,HONG_KONG,32.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,10,MALAYSIA,18.0,6.3,34
KML,Travel_Agency,Online,Premier_Plan,no,156,INDONESIA,49.0,18.62,48
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,10,MALAYSIA,-29.7,17.82,31
C2B,Airlines,Online,Annual_Silver_Plan,no,365,SINGAPORE,187.85,46.96,32
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,33,THAILAND,20.0,0.0,48
JZI,Airlines,Online,Basic_Plan,no,6,CHINA,22.0,7.7,35
JZI,Airlines,Online,Basic_Plan,no,5,CHINA,22.0,7.7,33
EPX,Travel_Agency,Online,Cancellation_Plan,no,111,JAPAN,25.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,11,CAMBODIA,13.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,22,CHINA,26.0,9.1,58
EPX,Travel_Agency,Online,Cancellation_Plan,no,17,THAILAND,41.0,0.0,25
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,5,CHINA,112.0,0.0,36
C2B,Airlines,Online,Bronze_Plan,no,53,SINGAPORE,93.0,23.25,54
EPX,Travel_Agency,Online,Cancellation_Plan,no,15,SINGAPORE,15.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,82,AUSTRALIA,49.5,29.7,57
JZI,Airlines,Online,Basic_Plan,no,14,VIETNAM,18.0,6.3,42
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,37,THAILAND,67.0,0.0,38
EPX,Travel_Agency,Online,Cancellation_Plan,no,2,INDIA,11.0,0.0,64
EPX,Travel_Agency,Online,Cancellation_Plan,no,78,UNITED_KINGDOM,67.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,8,MALAYSIA,11.0,0.0,37
EPX,Travel_Agency,Online,Cancellation_Plan,no,14,EGYPT,28.0,0.0,35
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,33,"KOREA,_REPUBLIC_OF",29.7,17.82,57
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,4,AUSTRALIA,39.6,23.76,29
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,49,AUSTRALIA,89.1,53.46,27
EPX,Travel_Agency,Online,Cancellation_Plan,no,100,CHINA,76.0,0.0,35
EPX,Travel_Agency,Online,Cancellation_Plan,no,11,VIETNAM,16.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,11,CHINA,38.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,47,THAILAND,65.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,13,THAILAND,22.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,26,PHILIPPINES,33.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,4,HONG_KONG,14.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,69,PHILIPPINES,12.0,0.0,30
TTW,Travel_Agency,Offline,Individual_Comprehensive_Plan,no,364,SINGAPORE,97.0,0.0,39
EPX,Travel_Agency,Online,Cancellation_Plan,no,8,MALAYSIA,10.0,0.0,41
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,33,HONG_KONG,21.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,1,MALAYSIA,18.0,6.3,57
EPX,Travel_Agency,Online,Cancellation_Plan,no,54,CHINA,24.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,6,VIETNAM,39.0,0.0,36
CSR,Travel_Agency,Offline,Comprehensive_Plan,no,151,THAILAND,29.0,9.57,35
EPX,Travel_Agency,Online,Cancellation_Plan,no,4,CHINA,10.0,0.0,53
EPX,Travel_Agency,Online,Cancellation_Plan,no,28,INDIA,11.0,0.0,28
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,33,"TAIWAN,_PROVINCE_OF_CHINA",20.0,0.0,29
JWT,Airlines,Online,Value_Plan,no,16,INDIA,31.0,12.4,99
EPX,Travel_Agency,Online,Cancellation_Plan,no,276,CROATIA,80.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,30,UNITED_KINGDOM,112.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,58,DENMARK,148.5,89.1,37
EPX,Travel_Agency,Online,Cancellation_Plan,no,41,CHINA,24.0,0.0,39
EPX,Travel_Agency,Online,Cancellation_Plan,no,26,HONG_KONG,13.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,14,THAILAND,27.0,0.0,65
RAB,Airlines,Online,Value_Plan,no,3,BRUNEI_DARUSSALAM,15.0,6.0,27
C2B,Airlines,Online,Bronze_Plan,no,45,SINGAPORE,33.5,8.38,33
EPX,Travel_Agency,Online,Cancellation_Plan,no,148,PHILIPPINES,34.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,8,JAPAN,39.6,23.76,31
C2B,Airlines,Online,Bronze_Plan,no,19,SINGAPORE,16.0,4.0,32
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,4,SINGAPORE,20.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,10,AUSTRALIA,69.3,41.58,31
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,14,NORWAY,29.7,17.82,41
JZI,Airlines,Online,Basic_Plan,no,51,CHINA,40.0,14.0,63
EPX,Travel_Agency,Online,Cancellation_Plan,no,46,"TAIWAN,_PROVINCE_OF_CHINA",-27.0,0.0,36
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,19,SINGAPORE,20.0,0.0,46
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,57,AUSTRALIA,69.3,41.58,31
EPX,Travel_Agency,Online,Cancellation_Plan,no,78,PHILIPPINES,37.0,0.0,36
C2B,Airlines,Online,Silver_Plan,no,11,SINGAPORE,62.0,15.5,27
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,9,ECUADOR,29.0,0.0,41
EPX,Travel_Agency,Online,Cancellation_Plan,no,37,JAPAN,24.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,46,INDIA,12.0,0.0,36
SSI,Airlines,Online,Ticket_Protector,no,53,SINGAPORE,5.8,1.63,48
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,16,AUSTRALIA,0.0,17.82,38
JZI,Airlines,Online,Basic_Plan,no,7,INDONESIA,22.0,7.7,31
C2B,Airlines,Online,Annual_Silver_Plan,no,366,SINGAPORE,216.0,54.0,31
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,37,INDIA,22.0,0.0,45
JZI,Airlines,Online,Value_Plan,no,5,AUSTRALIA,45.0,15.75,36
JWT,Airlines,Online,Value_Plan,no,69,INDIA,50.0,20.0,99
ART,Airlines,Online,Value_Plan,no,6,CHINA,32.0,11.2,45
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,3,HONG_KONG,26.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,54,AUSTRALIA,44.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,18,AUSTRALIA,9.9,5.94,35
JWT,Airlines,Online,Value_Plan,no,7,INDIA,31.0,12.4,99
EPX,Travel_Agency,Online,Cancellation_Plan,no,9,MALAYSIA,10.0,0.0,27
EPX,Travel_Agency,Online,Cancellation_Plan,no,10,THAILAND,15.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,7,SINGAPORE,24.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,4,CHINA,19.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,24,CHINA,38.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,19,MALAYSIA,18.0,6.3,72
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,134,THAILAND,77.0,0.0,29
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,8,INDONESIA,26.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,9,THAILAND,20.0,0.0,65
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,22,AUSTRALIA,39.6,23.76,31
C2B,Airlines,Online,Silver_Plan,no,9,SINGAPORE,25.9,6.47,63
EPX,Travel_Agency,Online,Cancellation_Plan,no,101,SINGAPORE,31.0,0.0,36
JWT,Airlines,Online,Value_Plan,no,9,INDIA,31.0,12.4,99
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,62,SWEDEN,198.0,118.8,31
JZI,Airlines,Online,Basic_Plan,no,65,MYANMAR,33.0,11.55,29
JZI,Airlines,Online,Basic_Plan,no,7,BRUNEI_DARUSSALAM,22.0,7.7,45
C2B,Airlines,Online,Bronze_Plan,no,68,SINGAPORE,13.5,3.38,34
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,79,CAMBODIA,24.0,0.0,36
KML,Travel_Agency,Online,Value_Plan,no,34,INDONESIA,28.0,10.64,48
JZI,Airlines,Online,Value_Plan,no,14,CHINA,58.0,20.3,51
EPX,Travel_Agency,Online,Cancellation_Plan,no,21,CHINA,27.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,26,MALAYSIA,19.8,11.88,60
C2B,Airlines,Online,Bronze_Plan,no,28,SINGAPORE,40.5,10.13,29
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,5,THAILAND,29.7,17.82,42
EPX,Travel_Agency,Online,Cancellation_Plan,no,2,INDONESIA,10.0,0.0,56
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,6,MALAYSIA,29.7,17.82,37
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,221,AUSTRALIA,99.0,59.4,31
EPX,Travel_Agency,Online,Cancellation_Plan,no,28,VIETNAM,13.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,10,CHINA,26.0,9.1,46
JZI,Airlines,Online,Basic_Plan,no,12,CHINA,26.0,9.1,48
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,11,INDONESIA,20.0,0.0,36
JWT,Airlines,Online,Value_Plan,no,10,INDIA,31.0,12.4,99
EPX,Travel_Agency,Online,Cancellation_Plan,no,42,SINGAPORE,10.0,0.0,39
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,10,PHILIPPINES,41.0,0.0,36
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,8,SINGAPORE,20.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,13,PHILIPPINES,18.0,6.3,47
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,46,INDONESIA,20.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,58,INDIA,70.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,24,AUSTRALIA,26.0,9.1,51
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,64,UNITED_KINGDOM,-118.8,71.28,53
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,5,JAPAN,62.0,0.0,36
C2B,Airlines,Online,Gold_Plan,no,29,SINGAPORE,51.0,12.75,43
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,36,INDONESIA,31.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,19,JAPAN,45.0,0.0,46
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,18,SINGAPORE,21.0,0.0,66
EPX,Travel_Agency,Online,Cancellation_Plan,no,3,THAILAND,10.0,0.0,23
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,13,SPAIN,49.5,29.7,51
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,47,FIJI,40.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,4,SINGAPORE,80.0,0.0,22
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,296,GREECE,0.0,47.52,31
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,25,"KOREA,_REPUBLIC_OF",51.0,0.0,36
C2B,Airlines,Online,Annual_Silver_Plan,no,364,SINGAPORE,259.2,64.8,37
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,2,PHILIPPINES,20.0,0.0,34
JZI,Airlines,Online,Basic_Plan,no,14,INDONESIA,30.0,10.5,43
JZI,Airlines,Online,Basic_Plan,no,19,MALAYSIA,18.0,6.3,42
JZI,Airlines,Online,Basic_Plan,no,47,HONG_KONG,26.0,9.1,64
JZI,Airlines,Online,Basic_Plan,no,4,MALAYSIA,18.0,6.3,45
EPX,Travel_Agency,Online,Cancellation_Plan,no,35,MYANMAR,10.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,3,CHINA,19.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,166,ICELAND,0.0,65.34,42
JZI,Airlines,Online,Basic_Plan,no,27,THAILAND,30.0,10.5,40
EPX,Travel_Agency,Online,Cancellation_Plan,no,73,GERMANY,22.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,164,CHINA,26.0,0.0,36
JWT,Airlines,Online,Value_Plan,no,11,INDIA,31.0,12.4,99
EPX,Travel_Agency,Online,Cancellation_Plan,no,29,HONG_KONG,12.0,0.0,32
EPX,Travel_Agency,Online,Cancellation_Plan,no,70,"KOREA,_REPUBLIC_OF",36.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,37,DENMARK,277.2,166.32,54
EPX,Travel_Agency,Online,Cancellation_Plan,no,43,INDIA,22.0,0.0,35
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,12,THAILAND,33.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,5,HONG_KONG,37.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,31,THAILAND,52.0,18.2,59
EPX,Travel_Agency,Online,Cancellation_Plan,no,10,"TAIWAN,_PROVINCE_OF_CHINA",25.0,0.0,36
SSI,Airlines,Online,Ticket_Protector,no,10,SINGAPORE,2.12,0.59,48
ADM,Travel_Agency,Online,Premier_Plan,no,32,FRANCE,86.0,32.68,22
EPX,Travel_Agency,Online,Cancellation_Plan,no,64,KAZAKHSTAN,80.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,2,VIETNAM,10.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,60,INDONESIA,11.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,71,SOUTH_AFRICA,-49.5,29.7,42
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,5,SINGAPORE,46.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,148,"KOREA,_REPUBLIC_OF",11.0,0.0,25
EPX,Travel_Agency,Online,Cancellation_Plan,no,12,THAILAND,14.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,222,MYANMAR,20.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,7,PHILIPPINES,55.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,39,SINGAPORE,99.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,48,COSTA_RICA,55.0,0.0,27
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,54,FRANCE,79.2,47.52,33
C2B,Airlines,Online,Silver_Plan,no,15,SINGAPORE,32.5,8.13,26
EPX,Travel_Agency,Online,Cancellation_Plan,yes,10,THAILAND,44.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,5,MALAYSIA,20.0,0.0,40
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,17,MALAYSIA,49.5,29.7,30
TST,Travel_Agency,Offline,Travel_Cruise_Protect,no,17,MALAYSIA,30.0,10.5,38
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,20,DENMARK,82.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,2,NEPAL,19.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,14,MALAYSIA,30.0,10.5,32
JZI,Airlines,Online,Basic_Plan,no,18,MYANMAR,37.0,12.95,31
C2B,Airlines,Online,Silver_Plan,no,6,SINGAPORE,34.8,8.7,41
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,35,INDONESIA,25.0,0.0,36
C2B,Airlines,Online,Silver_Plan,no,10,SINGAPORE,46.8,11.7,43
JZI,Airlines,Online,Basic_Plan,no,9,THAILAND,22.0,7.7,54
EPX,Travel_Agency,Online,Cancellation_Plan,no,39,VIETNAM,17.0,0.0,36
TST,Travel_Agency,Offline,Travel_Cruise_Protect,no,38,MALAYSIA,30.0,10.5,55
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,12,CHINA,37.0,0.0,36
C2B,Airlines,Online,Silver_Plan,no,8,SINGAPORE,39.0,9.75,29
EPX,Travel_Agency,Online,Cancellation_Plan,no,49,"KOREA,_REPUBLIC_OF",28.0,0.0,50
EPX,Travel_Agency,Online,Cancellation_Plan,no,27,JAPAN,14.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,1,SINGAPORE,10.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,90,NEW_ZEALAND,18.0,0.0,21
EPX,Travel_Agency,Online,Cancellation_Plan,no,33,SINGAPORE,28.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,6,MALAYSIA,31.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,55,INDONESIA,21.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,65,AUSTRALIA,-297.0,178.2,34
EPX,Travel_Agency,Online,Cancellation_Plan,no,8,"TAIWAN,_PROVINCE_OF_CHINA",33.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,5,INDONESIA,20.0,0.0,36
C2B,Airlines,Online,Annual_Silver_Plan,no,365,SINGAPORE,216.0,54.0,54
EPX,Travel_Agency,Online,Cancellation_Plan,no,21,PHILIPPINES,14.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,216,PHILIPPINES,52.0,18.2,32
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,119,CHINA,74.0,0.0,36
JZI,Airlines,Online,Value_Plan,no,15,UNITED_STATES,96.0,33.6,28
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,47,UNITED_STATES,89.1,53.46,46
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,9,SRI_LANKA,27.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,52,THAILAND,39.6,23.76,27
EPX,Travel_Agency,Online,Cancellation_Plan,no,5,VIETNAM,15.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,54,MACAO,26.0,9.1,66
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,12,JAPAN,37.0,0.0,36
C2B,Airlines,Online,Gold_Plan,no,16,SINGAPORE,0.0,13.2,59
EPX,Travel_Agency,Online,Cancellation_Plan,no,46,AUSTRALIA,53.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,41,INDIA,28.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,2,THAILAND,10.0,0.0,36
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,10,INDIA,26.0,0.0,36
C2B,Airlines,Online,Bronze_Plan,no,4,SINGAPORE,28.5,7.13,42
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,37,THAILAND,34.0,0.0,34
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,12,CHINA,20.0,0.0,36
CCR,Travel_Agency,Offline,Comprehensive_Plan,no,35,MALAYSIA,29.0,9.57,18
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,46,HONG_KONG,21.0,0.0,36
SSI,Airlines,Online,Ticket_Protector,no,19,SINGAPORE,7.35,2.06,48
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,41,ITALY,85.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,11,PHILIPPINES,10.0,0.0,36
C2B,Airlines,Online,Bronze_Plan,no,40,SINGAPORE,20.0,5.0,30
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,7,THAILAND,30.0,0.0,40
EPX,Travel_Agency,Online,Cancellation_Plan,no,71,MYANMAR,12.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,41,MYANMAR,10.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,19,CHINA,27.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,16,CHINA,12.0,0.0,36
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,29,"TAIWAN,_PROVINCE_OF_CHINA",20.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,12,THAILAND,27.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,11,INDONESIA,39.6,23.76,31
C2B,Airlines,Online,Silver_Plan,no,50,SINGAPORE,72.0,18.0,31
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,8,JAPAN,39.6,23.76,36
JZI,Airlines,Online,Basic_Plan,no,7,HONG_KONG,26.0,9.1,69
CCR,Travel_Agency,Offline,Comprehensive_Plan,no,225,MALAYSIA,29.0,9.57,34
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,yes,216,ITALY,20.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,19,CANADA,80.0,0.0,46
TST,Travel_Agency,Offline,Travel_Cruise_Protect,no,24,MALAYSIA,30.0,10.5,52
EPX,Travel_Agency,Online,Cancellation_Plan,no,230,MALAYSIA,39.0,0.0,27
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,12,AUSTRALIA,20.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,19,MALAYSIA,10.0,0.0,22
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,36,NEW_ZEALAND,69.3,41.58,42
JZI,Airlines,Online,Value_Plan,no,15,"KOREA,_REPUBLIC_OF",45.0,15.75,32
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,6,MALAYSIA,34.0,0.0,36
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,121,CHINA,27.0,0.0,36
C2B,Airlines,Online,Bronze_Plan,no,4,SINGAPORE,19.2,4.8,40
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,50,RUSSIAN_FEDERATION,31.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,196,SOUTH_AFRICA,29.7,17.82,56
JZI,Airlines,Online,Basic_Plan,no,5,PHILIPPINES,22.0,7.7,30
EPX,Travel_Agency,Online,Cancellation_Plan,no,10,MALAYSIA,12.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,35,JAPAN,50.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,157,SPAIN,0.0,5.94,31
EPX,Travel_Agency,Online,Cancellation_Plan,no,7,CHINA,32.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,119,MALAYSIA,39.6,23.76,56
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,33,"KOREA,_REPUBLIC_OF",62.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,171,"TAIWAN,_PROVINCE_OF_CHINA",19.0,0.0,57
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,42,HONG_KONG,26.0,0.0,36
